LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 2.979s (4.451s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.178s (1.179s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.018s (1.196s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.161s (1.161s including waiting). Image size: 0 bytes.
29m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.334s (1.334s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 2.191s (2.191s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 973ms (973ms including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 977ms (1.946s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.054s (2.007s including waiting). Image size: 0 bytes.
28m         Normal    Pulling             pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Pulling image "ghcr.io/remla2025-team16/app/app-service:v1.0.0"
28m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.409s (1.409s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 2.258s (2.259s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.775s (4.033s including waiting). Image size: 0 bytes.
28m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.23s (1.23s including waiting). Image size: 0 bytes.
28m         Normal    Pulling             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Pulling image "ghcr.io/remla2025-team16/app-service:latest"
28m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Failed to pull image "ghcr.io/remla2025-team16/app-service:latest": Error response from daemon: failed to resolve reference "ghcr.io/remla2025-team16/app-service:latest": failed to authorize: failed to fetch anonymous token: unexpected status from GET request to https://ghcr.io/token?scope=repository%3Aremla2025-team16%2Fapp-service%3Apull&service=ghcr.io: 403 Forbidden
28m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Error: ErrImagePull
28m         Normal    Pulling             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Pulling image "ghcr.io/remla2025-team16/app-service:latest"
28m         Normal    Pulling             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Pulling image "ghcr.io/remla2025-team16/app-service:latest"
28m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Failed to pull image "ghcr.io/remla2025-team16/app-service:latest": Error response from daemon: failed to resolve reference "ghcr.io/remla2025-team16/app-service:latest": failed to authorize: failed to fetch anonymous token: unexpected status from GET request to https://ghcr.io/token?scope=repository%3Aremla2025-team16%2Fapp-service%3Apull&service=ghcr.io: 403 Forbidden
28m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Error: ErrImagePull
28m         Warning   Failed              pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Failed to pull image "ghcr.io/remla2025-team16/app-service:latest": Error response from daemon: failed to resolve reference "ghcr.io/remla2025-team16/app-service:latest": failed to authorize: failed to fetch anonymous token: unexpected status from GET request to https://ghcr.io/token?scope=repository%3Aremla2025-team16%2Fapp-service%3Apull&service=ghcr.io: 403 Forbidden
28m         Warning   Failed              pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Error: ErrImagePull
27m         Normal    Pulling             pod/myapp-my-app-model-service-754d65645c-5mthx              Pulling image "ghcr.io/remla2025-team16/model-service:v2.0.0"
27m         Warning   Failed              pod/myapp-my-app-model-service-754d65645c-5mthx              Failed to pull image "ghcr.io/remla2025-team16/model-service:v2.0.0": Error response from daemon: failed to resolve reference "ghcr.io/remla2025-team16/model-service:v2.0.0": ghcr.io/remla2025-team16/model-service:v2.0.0: not found
27m         Warning   Failed              pod/myapp-my-app-model-service-754d65645c-5mthx              Error: ErrImagePull
26m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 1.271s (2.491s including waiting). Image size: 0 bytes.
26m         Normal    BackOff             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
26m         Normal    BackOff             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
26m         Normal    Pulling             pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Pulling image "ghcr.io/remla2025-team16/app/app-service:v2.0.0"
26m         Normal    Pulling             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Pulling image "ghcr.io/remla2025-team16/app/app-service:v2.0.0"
26m         Normal    Pulling             pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Pulling image "ghcr.io/remla2025-team16/app/app-service:latest"
26m         Normal    BackOff             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
26m         Normal    Pulling             pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Pulling image "ghcr.io/remla2025-team16/app/app-service:latest"
26m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Error: ImagePullBackOff
26m         Warning   Failed              pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Error: ImagePullBackOff
26m         Warning   Failed              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Error: configmap "myapp-my-app-config" not found
26m         Warning   Failed              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Error: configmap "myapp-my-app-config" not found
26m         Warning   Failed              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Error: configmap "myapp-my-app-config" not found
26m         Warning   Failed              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Error: configmap "myapp-my-app-config" not found
26m         Warning   Failed              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Error: configmap "myapp-my-app-config" not found
26m         Warning   Failed              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Error: configmap "myapp-my-app-config" not found
26m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-frontend                         Scaled up replica set myapp-my-app-app-frontend-5667447c79 from 0 to 1
26m         Normal    SuccessfulDelete    replicaset/myapp-my-app-app-service-v1-cc45c687b             Deleted pod: myapp-my-app-app-service-v1-cc45c687b-kfqct
26m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v1                       Scaled down replica set myapp-my-app-app-service-v1-cc45c687b from 1 to 0
26m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v2                       Scaled down replica set myapp-my-app-app-service-v2-d548855f8 from 2 to 1
26m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v2                       Scaled up replica set myapp-my-app-app-service-v2-67cd8df78f from 0 to 1
26m         Normal    SuccessfulDelete    replicaset/myapp-my-app-app-service-v2-d548855f8             Deleted pod: myapp-my-app-app-service-v2-d548855f8-fkggl
26m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v1                       Scaled up replica set myapp-my-app-app-service-v1-6789df75d7 from 0 to 1
26m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-67cd8df78f            Created pod: myapp-my-app-app-service-v2-67cd8df78f-x9rmm
26m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-6789df75d7            Created pod: myapp-my-app-app-service-v1-6789df75d7-cp26x
26m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-frontend-5667447c79              Created pod: myapp-my-app-app-frontend-5667447c79-jtpvk
26m         Warning   Failed              pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Error: ImagePullBackOff
25m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Created container: istio-init
25m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Started container istio-init
25m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Created container: istio-init
25m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Started container istio-init
25m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Created container: istio-init
25m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Started container istio-init
25m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Created container: istio-proxy
25m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Created container: istio-proxy
25m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Started container istio-proxy
25m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Started container istio-proxy
25m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Container image "ghcr.io/remla2025-team16/app/app-frontend:v2.0.0" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Created container: app-frontend
25m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Started container app-frontend
25m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Liveness probe failed: Get "https://10.1.0.147:10250/healthz": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
25m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
25m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Created container: istio-proxy
25m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Started container istio-proxy
25m         Normal    Pulling             pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Pulling image "ghcr.io/remla2025-team16/model-service:latest"
25m         Normal    BackOff             pod/myapp-my-app-model-service-754d65645c-5mthx              Back-off pulling image "ghcr.io/remla2025-team16/model-service:v2.0.0"
25m         Normal    SuccessfulDelete    replicaset/myapp-my-app-app-frontend-78dd9dcddf              Deleted pod: myapp-my-app-app-frontend-78dd9dcddf-6vfr4
25m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-frontend                         Scaled down replica set myapp-my-app-app-frontend-78dd9dcddf from 1 to 0
25m         Normal    Killing             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Stopping container app-frontend
25m         Normal    Killing             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Stopping container istio-proxy
25m         Warning   Failed              pod/myapp-my-app-model-service-754d65645c-5mthx              Error: ImagePullBackOff
24m         Warning   Failed              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Error: unable to convert a nil pointer to a runtime API image
24m         Warning   Failed              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Error: unable to convert a nil pointer to a runtime API image
24m         Warning   Failed              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Error: unable to convert a nil pointer to a runtime API image
24m         Warning   Failed              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Error: unable to convert a nil pointer to a runtime API image
23m         Warning   Failed              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Error: unable to convert a nil pointer to a runtime API image
23m         Warning   Failed              pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Error: ImageInspectError
23m         Warning   Failed              pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Error: ImageInspectError
23m         Warning   Failed              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Error: unable to convert a nil pointer to a runtime API image
23m         Warning   InspectFailed       pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
23m         Warning   InspectFailed       pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
22m         Normal    Killing             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Stopping container app-frontend
22m         Normal    Killing             pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Stopping container istio-proxy
22m         Normal    Killing             pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Stopping container istio-proxy
22m         Warning   Unhealthy           pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Readiness probe failed: Get "http://10.1.0.209:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-frontend                         Scaled up replica set myapp-my-app-app-frontend-5667447c79 from 0 to 1
22m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v2                       Scaled up replica set myapp-my-app-app-service-v2-67cd8df78f from 0 to 3
22m         Normal    ScalingReplicaSet   deployment/myapp-my-app-model-service                        Scaled up replica set myapp-my-app-model-service-586c7d5bbb from 0 to 1
22m         Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v1                       Scaled up replica set myapp-my-app-app-service-v1-6789df75d7 from 0 to 3
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-frontend-5667447c79              Created pod: myapp-my-app-app-frontend-5667447c79-25znf
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-6789df75d7            Created pod: myapp-my-app-app-service-v1-6789df75d7-wz55g
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-model-service-586c7d5bbb             Created pod: myapp-my-app-model-service-586c7d5bbb-ngj66
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-67cd8df78f            Created pod: myapp-my-app-app-service-v2-67cd8df78f-55xjg
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-67cd8df78f            Created pod: myapp-my-app-app-service-v2-67cd8df78f-6q82l
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-6789df75d7            Created pod: myapp-my-app-app-service-v1-6789df75d7-894sb
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-6789df75d7            Created pod: myapp-my-app-app-service-v1-6789df75d7-wn2hl
22m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-67cd8df78f            Created pod: myapp-my-app-app-service-v2-67cd8df78f-66rkd
22m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-25znf               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
22m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-25znf               Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Created container: istio-init
22m         Normal    Created             pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Created container: istio-init
22m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Started container istio-init
22m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Started container istio-init
22m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-25znf               Started container istio-init
22m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Created container: istio-init
22m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Started container istio-init
22m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Started container istio-init
22m         Normal    Killing             pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Stopping container istio-proxy
22m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Started container istio-init
22m         Normal    Started             pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Started container istio-init
22m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Started container istio-init
21m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Started container istio-proxy
21m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Created container: istio-proxy
21m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Created container: istio-proxy
21m         Normal    Pulled              pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Started container istio-proxy
21m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Created             pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Created container: istio-proxy
21m         Normal    Started             pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Started container istio-proxy
21m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Created container: istio-proxy
21m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-25znf               Container image "ghcr.io/remla2025-team16/app/app-frontend:v2.0.0" already present on machine
21m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Started container istio-proxy
21m         Normal    Killing             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Stopping container istio-proxy
21m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-25znf               Created container: app-frontend
21m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 3.148s (3.148s including waiting). Image size: 0 bytes.
21m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-25znf               Started container app-frontend
21m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Pulled              pod/myapp-my-app-app-frontend-5667447c79-25znf               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Created container: istio-proxy
21m         Normal    Created             pod/myapp-my-app-app-frontend-5667447c79-25znf               Created container: istio-proxy
21m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Started container istio-proxy
21m         Normal    Created             pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Created container: istio-proxy
21m         Normal    Started             pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Started container istio-proxy
21m         Normal    Started             pod/myapp-my-app-app-frontend-5667447c79-25znf               Started container istio-proxy
21m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
21m         Normal    Started             pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Started container istio-proxy
21m         Normal    Created             pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Created container: istio-proxy
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 2.921s (2.921s including waiting). Image size: 0 bytes.
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.379s (1.379s including waiting). Image size: 0 bytes.
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.132s (1.132s including waiting). Image size: 0 bytes.
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 880ms (880ms including waiting). Image size: 0 bytes.
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 904ms (904ms including waiting). Image size: 0 bytes.
20m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 2.285s (2.285s including waiting). Image size: 0 bytes.
19m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.946s (1.946s including waiting). Image size: 0 bytes.
19m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.305s (1.305s including waiting). Image size: 0 bytes.
19m         Warning   Failed              pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Error: ImageInspectError
19m         Warning   Failed              pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Error: ImageInspectError
19m         Warning   Failed              pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Error: ImageInspectError
19m         Warning   Failed              pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Error: ImageInspectError
19m         Warning   Failed              pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Error: ImageInspectError
19m         Warning   Failed              pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Error: ImageInspectError
14m         Normal    Created             pod/prometheus-prometheus-node-exporter-7kbxs                Created container: node-exporter
13m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0       Liveness probe failed: Get "http://10.1.0.162:9090/-/healthy": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
13m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Readiness probe failed: Get "https://10.1.0.147:10250/healthz": net/http: request canceled (Client.Timeout exceeded while awaiting headers)
13m         Warning   Unhealthy           pod/prometheus-prometheus-kube-prometheus-prometheus-0       Readiness probe failed: Get "http://10.1.0.162:9090/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
13m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Liveness probe failed: Get "https://10.1.0.147:10250/healthz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
9m23s       Warning   Failed              pod/prometheus-prometheus-node-exporter-7kbxs                Error: failed to start container "node-exporter": Error response from daemon: path / is mounted on / but it is not a shared or slave mount
6m23s       Normal    ScalingReplicaSet   deployment/myapp-my-app-app-service-v1                       Scaled up replica set myapp-my-app-app-service-v1-768f4789f6 from 0 to 1
6m22s       Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-768f4789f6            Created pod: myapp-my-app-app-service-v1-768f4789f6-ckhd4
6m19s       Normal    Pulled              pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
6m18s       Normal    Created             pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Created container: istio-init
6m18s       Normal    Started             pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Started container istio-init
6m15s       Normal    Pulled              pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
6m13s       Normal    Created             pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Created container: istio-proxy
6m12s       Normal    Started             pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Started container istio-proxy
6m6s        Warning   Unhealthy           pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Startup probe failed: Get "http://10.1.0.219:15021/healthz/ready": dial tcp 10.1.0.219:15021: connect: connection refused
4m56s       Warning   Failed              pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Error: ImageInspectError
4m31s       Warning   BackOff             pod/prometheus-prometheus-node-exporter-7kbxs                Back-off restarting failed container node-exporter in pod prometheus-prometheus-node-exporter-7kbxs_default(68b1a784-f335-4a17-9f24-f98f2f5d7edc)
4m16s       Normal    Pulled              pod/prometheus-prometheus-node-exporter-7kbxs                Container image "quay.io/prometheus/node-exporter:v1.9.1" already present on machine
3m30s       Warning   Unhealthy           pod/prometheus-grafana-cb4cddb8d-r4wnk                       Readiness probe failed: Get "http://10.1.0.146:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
