LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
32m         Normal    BackOff             pod/myapp-my-app-app-service-v1-cc45c687b-mqjhz              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
32m         Normal    BackOff             pod/myapp-my-app-app-service-v2-d548855f8-62hr5              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
32m         Normal    Pulling             pod/myapp-my-app-app-service-v2-5594b7bb6-hwxbp              Pulling image "ghcr.io/remla2025-team16/app/app-service:latest"
32m         Normal    BackOff             pod/myapp-my-app-app-service-v2-d548855f8-824pg              Back-off pulling image "ghcr.io/remla2025-team16/app-service:latest"
32m         Normal    Pulling             pod/myapp-my-app-app-service-v2-56b44bc579-44wms             Pulling image "ghcr.io/remla2025-team16/app/app-service:v2.0.0"
32m         Normal    Pulling             pod/myapp-my-app-app-service-v1-6689dc76d8-6gq7f             Pulling image "ghcr.io/remla2025-team16/app/app-service:latest"
32m         Normal    Pulling             pod/myapp-my-app-app-service-v1-75876bc886-jmrk9             Pulling image "ghcr.io/remla2025-team16/app/app-service:v1.0.0"
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-5594b7bb6             Created pod: myapp-my-app-app-service-v2-5594b7bb6-djxdt
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-787b6554b9            Created pod: myapp-my-app-app-service-v1-787b6554b9-69ws4
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-75876bc886            Created pod: myapp-my-app-app-service-v1-75876bc886-x7b8p
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-6689dc76d8            Created pod: myapp-my-app-app-service-v1-6689dc76d8-25st6
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v1-cc45c687b             Created pod: myapp-my-app-app-service-v1-cc45c687b-kfqct
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-d548855f8             Created pod: myapp-my-app-app-service-v2-d548855f8-q4xbw
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-d548855f8             Created pod: myapp-my-app-app-service-v2-d548855f8-fkggl
32m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-service-v2-56b44bc579            Created pod: myapp-my-app-app-service-v2-56b44bc579-t4grb
32m         Normal    Killing             pod/myapp-my-app-app-service-v1-787b6554b9-s8cwj             Stopping container istio-proxy
32m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Readiness probe failed: Get "https://10.1.0.147:10250/healthz": context deadline exceeded
32m         Warning   Unhealthy           pod/myapp-my-app-app-service-v2-d548855f8-824pg              Readiness probe failed: Get "http://10.1.0.189:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
32m         Warning   Unhealthy           pod/myapp-my-app-app-service-v2-d548855f8-62hr5              Readiness probe failed: Get "http://10.1.0.193:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
32m         Warning   Unhealthy           pod/myapp-my-app-app-service-v1-6689dc76d8-6gq7f             Readiness probe failed: Get "http://10.1.0.187:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
32m         Warning   Unhealthy           pod/myapp-my-app-app-service-v1-787b6554b9-s8cwj             Readiness probe failed: Get "http://10.1.0.192:15021/healthz/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
32m         Warning   Unhealthy           pod/myapp-my-app-app-service-v2-5594b7bb6-hwxbp              Readiness probe failed: Get "http://10.1.0.186:15021/healthz/ready": dial tcp 10.1.0.186:15021: connect: connection refused
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Created             pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Created container: istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Started container istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Created container: istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Started container istio-init
31m         Normal    Started             pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Started container istio-init
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Created             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Created container: istio-proxy
31m         Normal    Started             pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Started container istio-proxy
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 2.998s (2.998s including waiting). Image size: 0 bytes.
31m         Normal    SuccessfulCreate    replicaset/myapp-my-app-app-frontend-78dd9dcddf              Created pod: myapp-my-app-app-frontend-78dd9dcddf-6vfr4
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Created             pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Created container: istio-proxy
31m         Normal    Started             pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Started container istio-proxy
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Created             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Created container: istio-proxy
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 5.486s (6.173s including waiting). Image size: 0 bytes.
31m         Normal    Started             pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Started container istio-proxy
31m         Normal    Pulled              pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 5.539s (11.71s including waiting). Image size: 0 bytes.
31m         Normal    Created             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Created container: istio-init
31m         Normal    Created             pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Created container: istio-proxy
31m         Normal    Started             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Started container istio-init
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
